Symbol,Name," Market capitalization as on December 31, 2023
(In Lakhs) "
MAHABANK,Bank of Maharashtra,"  3,197,240 "
GUJGASLTD,Gujarat Gas Limited,"  3,176,920 "
CRISIL,CRISIL Limited,"  3,170,754 "
GLAND,Gland Pharma Limited,"  3,169,689 "
FORTIS,Fortis Healthcare Limited,"  3,164,785 "
BDL,Bharat Dynamics Limited,"  3,138,416 "
STARHEALTH,Star Health and Allied Insurance Company Limited,"  3,124,399 "
MANYAVAR,Vedant Fashions Limited,"  3,078,733 "
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,"  3,036,122 "
LLOYDSME,Lloyds Metals And Energy Limited,"  3,027,936 "
BSE,BSE Limited,"  3,006,980 "
BIOCON,Biocon Limited,"  2,997,298 "
LICHSGFIN,LIC Housing Finance Limited,"  2,948,888 "
KEI,KEI Industries Limited,"  2,932,350 "
IGL,Indraprastha Gas Limited,"  2,928,453 "
ANGELONE,Angel One Limited,"  2,927,792 "
JKCEMENT,JK Cement Limited,"  2,927,115 "
ITI,ITI Limited,"  2,926,381 "
PSB,Punjab & Sind Bank,"  2,924,615 "
APOLLOTYRE,Apollo Tyres Limited,"  2,883,676 "
DELHIVERY,Delhivery Limited,"  2,861,153 "
IPCALAB,IPCA Laboratories Limited,"  2,824,109 "
SYNGENE,Syngene International Limited,"  2,819,934 "
KPRMILL,K.P.R. Mill Limited,"  2,819,282 "
TATACHEM,Tata Chemicals Limited,"  2,812,764 "
SUNTV,Sun TV Network Limited,"  2,806,671 "
NAM-INDIA,Nippon Life India Asset Management Limited,"  2,806,485 "
IREDA,Indian Renewable Energy Development Agency Limited,"  2,763,022 "
MSUMI,Motherson Sumi Wiring India Limited,"  2,730,034 "
ENDURANCE,Endurance Technologies Limited,"  2,719,294 "
EXIDEIND,Exide Industries Limited,"  2,701,725 "
KANSAINER,Kansai Nerolac Paints Limited,"  2,693,925 "
AJANTPHARM,Ajanta Pharma Limited,"  2,669,680 "
HINDCOPPER,Hindustan Copper Limited,"  2,646,261 "
ZEEL,Zee Entertainment Enterprises Limited,"  2,638,547 "
SUNDRMFAST,Sundram Fasteners Limited,"  2,624,293 "
GRINDWELL,Grindwell Norton Limited,"  2,578,780 "
MEDANTA,Global Health Limited,"  2,574,621 "
360ONE,360 ONE WAM LIMITED,"  2,543,843 "
CREDITACC,CREDITACCESS GRAMEEN LIMITED,"  2,541,325 "
CYIENT,Cyient Limited,"  2,539,984 "
HATSUN,Hatsun Agro Product Limited,"  2,536,323 "
HUDCO,Housing & Urban Development Corporation Limited,"  2,521,393 "
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,"  2,518,925 "
IRB,IRB Infrastructure Developers Limited,"  2,509,205 "
GODREJIND,Godrej Industries Limited,"  2,506,489 "
EMAMILTD,Emami Limited,"  2,460,769 "
NH,Narayana Hrudayalaya Ltd.,"  2,456,315 "
TIMKEN,Timken India Limited,"  2,446,076 "
APARINDS,Apar Industries Limited,"  2,431,549 "
NATIONALUM,National Aluminium Company Limited,"  2,423,436 "
RAMCOCEM,The Ramco Cements Limited,"  2,411,009 "
GLENMARK,Glenmark Pharmaceuticals Limited,"  2,409,575 "
RATNAMANI,Ratnamani Metals & Tubes Limited,"  2,357,369 "
AARTIIND,Aarti Industries Limited,"  2,354,826 "
DEVYANI,Devyani International Limited,"  2,336,352 "
MRPL,Mangalore Refinery and Petrochemicals Limited,"  2,333,585 "
ISEC,ICICI Securities Limited,"  2,320,497 "
LAURUSLABS,Laurus Labs Limited,"  2,317,276 "
IIFL,IIFL Finance Limited,"  2,280,873 "
SKFINDIA,SKF India Limited,"  2,274,196 "
RELAXO,Relaxo Footwears Limited,"  2,249,160 "
KIOCL,KIOCL Limited,"  2,237,436 "
POWERINDIA,Hitachi Energy India Limited,"  2,231,120 "
RADICO,Radico Khaitan Limited,"  2,217,206 "
TATAINVEST,Tata Investment Corporation Limited,"  2,166,516 "
LALPATHLAB,Dr. Lal Path Labs Ltd.,"  2,151,809 "
FIVESTAR,Five-Star Business Finance Limited,"  2,147,564 "
ABFRL,Aditya Birla Fashion and Retail Limited,"  2,123,242 "
BATAINDIA,Bata India Limited,"  2,122,504 "
CARBORUNIV,Carborundum Universal Limited,"  2,115,888 "
GILLETTE,Gillette India Limited,"  2,112,418 "
ATUL,Atul Limited,"  2,111,103 "
PEL,Piramal Enterprises Limited,"  2,092,518 "
SONATSOFTW,Sonata Software Limited,"  2,082,855 "
KAJARIACER,Kajaria Ceramics Limited,"  2,073,065 "
BRIGADE,Brigade Enterprises Limited,"  2,070,891 "
ASTERDM,Aster DM Healthcare Limited,"  2,047,005 "
PNBHOUSING,PNB Housing Finance Limited,"  2,027,461 "
IDFC,IDFC Limited,"  2,026,380 "
SUMICHEM,Sumitomo Chemical India Limited,"  2,016,798 "
CROMPTON,Crompton Greaves Consumer Electricals Limited,"  1,990,366 "
BSOFT,BIRLASOFT LIMITED,"  1,988,288 "
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,"  1,952,979 "
PFIZER,Pfizer Limited,"  1,952,948 "
BLUESTARCO,Blue Star Limited,"  1,947,172 "
NAVINFLUOR,Navin Fluorine International Limited,"  1,909,455 "
CDSL,Central Depository Services (India) Limited,"  1,906,498 "
SANOFI,Sanofi India Limited,"  1,858,007 "
TRIDENT,Trident Limited,"  1,849,832 "
MOTILALOFS,Motilal Oswal Financial Services Limited,"  1,843,042 "
SUVENPHAR,Suven Pharmaceuticals Limited,"  1,839,996 "
PPLPHARMA,Piramal Pharma Limited,"  1,836,913 "
AFFLE,Affle (India) Limited,"  1,830,774 "
VINATIORGA,Vinati Organics Limited,"  1,791,954 "
TTML,Tata Teleservices (Maharashtra) Limited,"  1,791,691 "
CIEINDIA,CIE Automotive India Limited,"  1,785,659 "
COCHINSHIP,Cochin Shipyard Limited,"  1,780,991 "
CASTROLIND,Castrol India Limited,"  1,777,947 "
RRKABEL,R R Kabel Limited,"  1,772,834 "
JYOTHYLAB,Jyothy Labs Limited,"  1,758,562 "
CESC,CESC Limited,"  1,756,381 "
BLUEDART,Blue Dart Express Limited,"  1,746,957 "
WHIRLPOOL,Whirlpool of India Limited,"  1,734,148 "
JBMA,JBM Auto Limited,"  1,731,375 "
GSPL,Gujarat State Petronet Limited,"  1,726,487 "
ELGIEQUIP,Elgi Equipments Limited,"  1,725,728 "
CENTURYPLY,Century Plyboards (India) Limited,"  1,715,064 "
RBLBANK,RBL Bank Limited,"  1,683,124 "
CELLO,Cello World Limited,"  1,670,577 "
KAYNES,Kaynes Technology India Limited,"  1,668,613 "
