Symbol,Name," Market capitalization as on December 31, 2023
(In Lakhs) "
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,"  185,938 "
YASHO,Yasho Industries Limited,"  185,830 "
TALBROAUTO,Talbros Automotive Components Limited,"  184,505 "
CAPACITE,Capacit'e Infraprojects Limited,"  184,112 "
RANEHOLDIN,Rane Holdings Limited,"  183,506 "
GOKULAGRO,Gokul Agro Resources Limited,"  183,101 "
GOLDIAM,Goldiam International Limited,"  182,139 "
VADILALIND,Vadilal Industries Limited,"  181,795 "
NITINSPIN,Nitin Spinners Limited,"  181,731 "
NELCO,NELCO Limited,"  181,269 "
MADRASFERT,Madras Fertilizers Limited,"  178,339 "
VSSL,Vardhman Special Steels Limited,"  177,741 "
HLVLTD,HLV LIMITED,"  177,671 "
RAMASTEEL,Rama Steel Tubes Limited,"  177,608 "
ROSSELLIND,Rossell India Limited,"  176,910 "
PIXTRANS,Pix Transmissions Limited,"  176,113 "
SUVEN,Suven Life Sciences Limited,"  176,095 "
5PAISA,5Paisa Capital Limited,"  176,038 "
UNITECH,Unitech Limited,"  175,292 "
PNBGILTS,PNB Gilts Limited,"  174,790 "
CENTUM,Centum Electronics Limited,"  173,846 "
AMRUTANJAN,Amrutanjan Health Care Limited,"  173,305 "
HARIOMPIPE,Hariom Pipe Industries Limited,"  172,767 "
MANINDS,Man Industries (India) Limited,"  171,414 "
BCLIND,Bcl Industries Limited,"  170,984 "
PREMEXPLN,Premier Explosives Limited,"  170,746 "
WHEELS,Wheels India Limited,"  169,638 "
NDTV,New Delhi Television Limited,"  169,173 "
DHAMPURSUG,Dhampur Sugar Mills Limited,"  168,293 "
PENIND,Pennar Industries Limited,"  168,278 "
DCW,DCW Limited,"  167,943 "
DREDGECORP,Dredging Corporation of India Limited,"  167,790 "
NSIL,Nalwa Sons Investments Limited,"  167,254 "
SPCENET,Spacenet Enterprises India Limited,"  166,583 "
GTLINFRA,GTL Infrastructure Limited,"  166,491 "
SURYODAY,Suryoday Small Finance Bank Limited,"  166,251 "
UNIVCABLES,Universal Cables Limited,"  165,579 "
SICALLOG,Sical Logistics Limited,"  165,374 "
HIMATSEIDE,Himatsingka Seide Limited,"  165,162 "
FAIRCHEMOR,Fairchem Organics Limited,"  164,474 "
DEEPINDS,Deep Industries Limited,"  164,096 "
DWARKESH,Dwarikesh Sugar Industries Limited,"  163,634 "
IGARASHI,Igarashi Motors India Limited,"  163,324 "
SHANKARA,Shankara Building Products Limited,"  163,076 "
SERVOTECH,Servotech Power Systems Limited,"  163,000 "
PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,"  161,916 "
ACLGATI,Allcargo Gati Limited,"  161,690 "
CONTROLPR,Control Print Limited,"  160,238 "
COSMOFIRST,COSMO FIRST LIMITED,"  160,097 "
HPL,HPL Electric & Power Limited,"  160,076 "
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,"  159,709 "
AHL,Abans Holdings Limited,"  159,314 "
HERANBA,Heranba Industries Limited,"  159,234 "
ATULAUTO,Atul Auto Limited,"  158,765 "
GVKPIL,GVK Power & Infrastructure Limited,"  158,651 "
INDRAMEDCO,Indraprastha Medical Corporation Limited,"  158,090 "
SIGACHI,Sigachi Industries Limited,"  158,016 "
NPST,Network People Services Technologies Limited,"  157,925 "
HITECH,Hi-Tech Pipes Limited,"  157,591 "
SPIC,Southern Petrochemicals Industries Corporation  Limited,"  157,312 "
AJMERA,Ajmera Realty & Infra India Limited,"  156,116 "
MVGJL,Manoj Vaibhav Gems N Jewellers Limited,"  155,726 "
VASCONEQ,Vascon Engineers Limited,"  155,143 "
GENESYS,Genesys International Corporation Limited,"  155,068 "
UTTAMSUGAR,Uttam Sugar Mills Limited,"  154,688 "
NIITLTD,NIIT Limited,"  154,648 "
SHAILY,Shaily Engineering Plastics Limited,"  154,184 "
NAVKARCORP,Navkar Corporation Limited,"  153,755 "
GEPIL,GE Power India Limited,"  152,942 "
BAJEL,Bajel Projects Limited,"  152,855 "
SPAL,S. P. Apparels Limited,"  152,287 "
APTECHT,Aptech Limited,"  151,076 "
ANDHRSUGAR,The Andhra Sugars Limited,"  151,054 "
KUANTUM,Kuantum Papers Limited,"  150,268 "
KRISHANA,Krishana Phoschem Limited,"  150,140 "
KITEX,Kitex Garments Limited,"  149,758 "
CUPID,Cupid Limited,"  149,439 "
POKARNA,Pokarna Limited,"  148,866 "
KABRAEXTRU,Kabra Extrusion Technik Limited,"  148,862 "
STOVEKRAFT,Stove Kraft Limited,"  148,716 "
DPABHUSHAN,D. P. Abhushan Limited,"  147,939 "
MONARCH,Monarch Networth Capital Limited,"  147,705 "
JSLL,Jeena Sikho Lifecare Limited,"  146,923 "
OMINFRAL,OM INFRA LIMITED,"  146,671 "
SURAJEST,Suraj Estate Developers Limited,"  146,658 "
MONTECARLO,Monte Carlo Fashions Limited,"  146,638 "
NACLIND,NACL Industries Limited,"  146,628 "
KOKUYOCMLN,Kokuyo Camlin Limited,"  146,193 "
PENINLAND,Peninsula Land Limited,"  145,970 "
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,"  144,292 "
IGPL,IG Petrochemicals Limited,"  144,243 "
BLKASHYAP,B. L. Kashyap and Sons Limited,"  144,169 "
KICL,Kalyani Investment Company Limited,"  143,782 "
TAJGVK,Taj GVK Hotels & Resorts Limited,"  143,430 "
EKC,Everest Kanto Cylinder Limited,"  142,560 "
JITFINFRA,JITF Infralogistics Limited,"  142,399 "
HARDWYN,Hardwyn India Limited,"  141,995 "
SYNCOMF,Syncom Formulations (India) Limited,"  141,470 "
BETA,Beta Drugs Limited,"  141,323 "
EIHAHOTELS,EIH Associated Hotels Limited,"  140,748 "
ONWARDTEC,Onward Technologies Limited,"  140,614 "
KSOLVES,Ksolves India Limited,"  140,138 "
ALICON,Alicon Castalloy Limited,"  139,964 "
AVTNPL,AVT Natural Products Limited,"  139,568 "
SATIA,Satia Industries Limited,"  139,150 "
VALIANTORG,Valiant Organics Limited,"  138,964 "
SUMMITSEC,Summit Securities Limited,"  138,921 "
AGARIND,Agarwal Industrial Corporation Limited,"  138,367 "
NGLFINE,NGL Fine-Chem Limited,"  137,798 "
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,"  137,597 "
AWHCL,Antony Waste Handling Cell Limited,"  137,483 "
NELCAST,Nelcast Limited,"  137,375 "
OMAXE,Omaxe Limited,"  136,993 "
MANALIPETC,Manali Petrochemicals Limited,"  136,395 "
HEUBACHIND,Heubach Colorants India Limited,"  136,044 "
INDORAMA,Indo Rama Synthetics (India) Limited,"  136,040 "
COFFEEDAY,Coffee Day Enterprises Limited,"  134,990 "
OAL,Oriental Aromatics Limited,"  134,682 "
AVADHSUGAR,Avadh Sugar & Energy Limited,"  133,823 "
DCMSRIND,DCM Shriram Industries Limited,"  133,359 "
TEXINFRA,Texmaco Infrastructure & Holdings Limited,"  133,288 "
RML,Rane (Madras) Limited,"  133,156 "
REFEX,Refex Industries Limited,"  133,155 "
ROTO,Roto Pumps Limited,"  132,226 "
GULPOLY,Gulshan Polyols Limited,"  131,883 "
MARINE,Marine Electricals (India) Limited,"  131,638 "
SASTASUNDR,Sastasundar Ventures Limited,"  130,487 "
RAMRAT,Ram Ratna Wires Limited,"  130,306 "
SATINDLTD,Sat Industries Limited,"  130,161 "
BLISSGVS,Bliss GVS Pharma Limited,"  130,133 "
SOLARA,Solara Active Pharma Sciences Limited,"  130,001 "
ATL,Allcargo Terminals Limited,"  129,113 "
MATRIMONY,Matrimony.Com Limited,"  129,033 "
GMBREW,GM Breweries Limited,"  128,948 "
STERTOOLS,Sterling Tools Limited,"  128,588 "
SHALPAINTS,Shalimar Paints Limited,"  128,329 "
CLSEL,Chaman Lal Setia Exports Limited,"  127,859 "
INDIANHUME,Indian Hume Pipe Company Limited,"  127,859 "
TVTODAY,TV Today Network Limited,"  127,780 "
REPRO,Repro India Limited,"  125,888 "
IMPAL,India Motor Parts and Accessories Limited,"  125,736 "
STEELCAS,Steelcast Limited,"  124,496 "
HESTERBIO,Hester Biosciences Limited,"  124,022 "
JYOTISTRUC,Jyoti Structures Limited,"  122,781 "
ZOTA,Zota Health Care LImited,"  122,116 "
LINCOLN,Lincoln Pharmaceuticals Limited,"  122,081 "
INDNIPPON,India Nippon Electricals Limited,"  120,979 "
XCHANGING,Xchanging Solutions Limited,"  120,038 "
CENTRUM,Centrum Capital Limited,"  117,529 "
RICOAUTO,Rico Auto Industries Limited,"  117,224 "
FOCUS,Focus Lighting and Fixtures Limited,"  117,217 "
KOPRAN,Kopran Limited,"  116,313 "
BIGBLOC,Bigbloc Construction Limited,"  116,021 "
SHIVALIK,Shivalik Rasayan Limited,"  115,746 "
GICHSGFIN,GIC Housing Finance Limited,"  115,537 "
JAYBARMARU,Jay Bharat Maruti Limited,"  115,070 "
DLINKINDIA,D-Link (India) Limited,"  114,858 "
TFCILTD,Tourism Finance Corporation of India Limited,"  114,818 "
INNOVANA,Innovana Thinklabs Limited,"  114,810 "
EXCELINDUS,Excel Industries Limited,"  114,136 "
ONMOBILE,OnMobile Global Limited,"  113,809 "
GRMOVER,GRM Overseas Limited,"  113,550 "
REMUS,Remus Pharmaceuticals Limited,"  112,737 "
TRACXN,Tracxn Technologies Limited,"  112,595 "
HERCULES,Hercules Hoists Limited,"  112,400 "
AGSTRA,AGS Transact Technologies Limited,"  111,630 "
TREL,Transindia Real Estate Limited,"  111,546 "
ARIHANTSUP,Arihant Superstructures Limited,"  111,544 "
DVL,Dhunseri Ventures Limited,"  111,186 "
UNIENTER,Uniphos Enterprises Limited,"  110,474 "
LIKHITHA,Likhitha Infrastructure Limited,"  110,342 "
GANESHBE,Ganesh Benzoplast Limited,"  109,929 "
SKYGOLD,Sky Gold Limited,"  109,432 "
SPORTKING,Sportking India Limited,"  109,095 "
FAZE3Q,Faze Three Limited,"  108,280 "
KAMOPAINTS,Kamdhenu Ventures Limited,"  107,855 "
CHEMCON,Chemcon Speciality Chemicals Limited,"  107,291 "
RAJRILTD,Raj Rayon Industries Limited,"  107,046 "
GFLLIMITED,GFL Limited,"  106,774 "
INFOBEAN,InfoBeans Technologies Limited,"  106,524 "
CREATIVE,Creative Newtech Limited,"  106,170 "
SMCGLOBAL,SMC Global Securities Limited,"  106,113 "
SNOWMAN,Snowman Logistics Limited,"  106,101 "
CONSOFINVT,Consolidated Finvest & Holdings Limited,"  105,966 "
NINSYS,NINtec Systems Limited,"  105,725 "
ASIANENE,Asian Energy Services Limited,"  105,467 "
MKPL,M K Proteins Limited,"  105,167 "
GIRIRAJ,Giriraj Civil Developers Limited,"  104,664 "
SBGLP,Suratwwala Business Group Limited,"  104,085 "
BODALCHEM,Bodal Chemicals Limited,"  104,028 "
RUSHIL,Rushil Decor Limited,"  103,950 "
V2RETAIL,V2 Retail Limited,"  103,906 "
VISHNUINFR,Vishnusurya Projects and Infra Limited,"  103,902 "
BAJAJHCARE,Bajaj Healthcare Limited,"  103,770 "
CSLFINANCE,CSL Finance Limited,"  103,684 "
RAMCOSYS,Ramco Systems Limited,"  102,990 "
PANACEABIO,Panacea Biotec Limited,"  102,840 "
RSWM,RSWM Limited,"  102,446 "
NAHARSPING,Nahar Spinning Mills Limited,"  102,281 "
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,"  101,884 "
SKMEGGPROD,SKM Egg Products Export (India) Limited,"  101,634 "
DBOL,Dhampur Bio Organics Limited,"  101,540 "
NCLIND,NCL Industries Limited,"  100,575 "
SMSPHARMA,SMS Pharmaceuticals Limited,"  100,482 "
ACL,Andhra Cements Limited,"  100,422 "
VHL,Vardhman Holdings Limited,"  100,336 "
NDRAUTO,Ndr Auto Components Limited,"  99,857 "
LINC,Linc Limited,"  99,473 "
ALLSEC,Allsec Technologies Limited,"  99,430 "
ONEPOINT,One Point One Solutions Limited,"  99,185 "
RGL,Renaissance Global Limited,"  99,112 "
DENTALKART,Vasa Denticity Limited,"  99,100 "
STEELXIND,STEEL EXCHANGE INDIA LIMITED,"  98,628 "
KAMDHENU,Kamdhenu Limited,"  98,557 "
AMBIKCO,Ambika Cotton Mills Limited,"  98,364 "
KELLTONTEC,Kellton Tech Solutions Limited,"  97,860 "
ICEMAKE,Ice Make Refrigeration Limited,"  97,329 "
SPENCERS,Spencer's Retail Limited,"  97,125 "
MOTISONS,Motisons Jewellers Limited,"  96,625 "
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,"  96,295 "
MAGADSUGAR,Magadh Sugar & Energy Limited,"  96,063 "
GPTINFRA,GPT Infraprojects Limited,"  95,984 "
SCHAND,S Chand And Company Limited,"  95,967 "
ASIANTILES,Asian Granito India Limited,"  95,439 "
DYCL,Dynamic Cables Limited,"  95,387 "
SUTLEJTEX,Sutlej Textiles and Industries Limited,"  95,266 "
E2E,E2E Networks Limited,"  95,232 "
WEBELSOLAR,Websol Energy System Limited,"  95,189 "
RADIANTCMS,Radiant Cash Management Services Limited,"  95,023 "
PPL,Prakash Pipes Limited,"  94,992 "
CENTENKA,Century Enka Limited,"  94,930 "
ZEEMEDIA,Zee Media Corporation Limited,"  94,440 "
GANDHITUBE,Gandhi Special Tubes Limited,"  94,170 "
MSPL,MSP Steel & Power Limited,"  93,849 "
YUKEN,Yuken India Limited,"  92,963 "
HIRECT,Hind Rectifiers Limited,"  92,469 "
EIMCOELECO,Eimco Elecon (India) Limited,"  92,291 "
UGARSUGAR,The Ugar Sugar Works Limited,"  92,138 "
AMNPLST,Amines & Plasticizers Limited,"  92,103 "
HPAL,HP Adhesives Limited,"  92,058 "
SREEL,Sreeleathers Limited,"  91,960 "
ORIENTPPR,Orient Paper & Industries Limited,"  91,770 "
SPECIALITY,Speciality Restaurants Limited,"  90,853 "
JUBLINDS,Jubilant Industries Limited,"  90,689 "
TRU,TruCap Finance Limited,"  90,597 "
ORIANA,Oriana Power Limited,"  90,340 "
TNPETRO,Tamilnadu PetroProducts Limited,"  90,241 "
VIMTALABS,Vimta Labs Limited,"  89,448 "
DPWIRES,D P Wires Limited,"  89,324 "
KERNEX,Kernex Microsystems (India) Limited,"  89,224 "
WINDLAS,Windlas Biotech Limited,"  89,174 "
DHARMAJ,Dharmaj Crop Guard Limited,"  88,667 "
VINYAS,Vinyas Innovative Technologies Limited,"  88,596 "
INDOAMIN,Indo Amines Limited,"  88,372 "
SILVERTUC,Silver Touch Technologies Limited,"  88,139 "
GKWLIMITED,GKW Limited,"  87,857 "
ASALCBR,Associated Alcohols & Breweries Ltd.,"  87,512 "
MUNJALAU,Munjal Auto Industries Limited,"  87,100 "
ENIL,Entertainment Network (India) Limited,"  87,022 "
BLAL,BEML Land Assets Limited,"  86,870 "
ROHLTD,Royal Orchid Hotels Limited,"  86,842 "
CHEVIOT,Cheviot Company Limited,"  86,727 "
WALCHANNAG,Walchandnagar Industries Limited,"  86,664 "
MANAKSIA,Manaksia Limited,"  86,145 "
HITECHGEAR,The Hi-Tech Gears Limited,"  86,033 "
FOODSIN,Foods & Inns Limited,"  85,950 "
PAKKA,PAKKA LIMITED,"  85,719 "
BIRLACABLE,Birla Cable Limited,"  85,680 "
KOTHARIPET,Kothari Petrochemicals Limited,"  85,474 "
SAKAR,Sakar Healthcare Limited,"  85,410 "
KOTYARK,Kotyark Industries Limited,"  85,352 "
TBZ,Tribhovandas Bhimji Zaveri Limited,"  85,315 "
SANDESH,The Sandesh Limited,"  85,016 "
HEXATRADEX,Hexa Tradex Limited,"  84,994 "
BCONCEPTS,Brand Concepts Limited,"  84,830 "
VINYLINDIA,Vinyl Chemicals (India) Limited,"  83,471 "
OCCL,Oriental Carbon & Chemicals Limited,"  82,848 "
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,"  82,688 "
3IINFOLTD,3i Infotech Limited,"  82,611 "
STCINDIA,The State Trading Corporation of India Limited,"  82,440 "
CREST,Crest Ventures Limited,"  82,036 "
DENORA,De Nora India Limited,"  81,466 "
SWELECTES,Swelect Energy Systems Limited,"  80,190 "
ZUARI,Zuari Agro Chemicals Limited,"  79,469 "
DECCANCE,Deccan Cements Limited,"  79,128 "
DSSL,Dynacons Systems & Solutions Limited,"  78,678 "
MOLDTECH,Mold-Tek Technologies Limited,"  78,515 "
RUBYMILLS,The Ruby Mills Limited,"  78,066 "
DHANBANK,Dhanlaxmi Bank Limited,"  77,548 "
URJA,Urja Global Limited,"  77,242 "
NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,"  77,150 "
MAANALU,Maan Aluminium Limited,"  76,963 "
MENONBE,Menon Bearings Limited,"  76,943 "
SUKHJITS,Sukhjit Starch & Chemicals Limited,"  76,595 "
PLASTIBLEN,Plastiblends India Limited,"  76,434 "
MEDICAMEQ,Medicamen Biotech Limited,"  76,305 "
GSLSU,Global Surfaces Limited,"  76,266 "
ADSL,Allied Digital Services Limited,"  75,744 "
VALIANTLAB,Valiant Laboratories Limited,"  75,255 "
BALAJITELE,Balaji Telefilms Limited,"  75,241 "
JAYAGROGN,Jayant Agro Organics Limited,"  74,940 "
SELAN,Selan Exploration Technology Limited,"  74,898 "
MICEL,MIC Electronics Limited,"  74,849 "
VISAKAIND,Visaka Industries Limited,"  74,611 "
ESTER,Ester Industries Limited,"  74,054 "
EMKAYTOOLS,Emkay Taps and Cutting Tools Limited,"  73,952 "
KECL,Kirloskar Electric Company Limited,"  73,520 "
ELIN,Elin Electronics Limited,"  73,421 "
INDOBORAX,Indo Borax & Chemicals Limited,"  72,989 "
ARIHANTCAP,Arihant Capital Markets Limited,"  72,358 "
DHUNINV,Dhunseri Investments Limited,"  72,188 "
NECLIFE,Nectar Lifesciences Limited,"  72,100 "
SEMAC,SEMAC CONSULTANTS LIMITED,"  71,920 "
EMAMIPAP,Emami Paper Mills Limited,"  71,903 "
BHAGERIA,Bhageria Industries Limited,"  71,336 "
ELDEHSG,Eldeco Housing And Industries Limited,"  71,299 "
VLSFINANCE,VLS Finance Limited,"  71,161 "
VIKASLIFE,Vikas Lifecare Limited,"  71,128 "
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,"  71,032 "
FCSSOFT,FCS Software Solutions Limited,"  70,946 "
PYRAMID,Pyramid Technoplast Limited,"  70,829 "
CHEMBOND,Chembond Chemicals Ltd,"  70,577 "
MAXIND,Max India Limited,"  70,455 "
INDOTECH,Indo Tech Transformers Limited,"  70,347 "
BGRENERGY,BGR Energy Systems Limited,"  70,141 "
APEX,Apex Frozen Foods Limited,"  69,922 "
MEDICO,Medico Remedies Limited,"  69,541 "
BASILIC,Basilic Fly Studio Limited,"  68,512 "
MALLCOM,Mallcom (India) Limited,"  68,428 "
NRAIL,N R Agarwal Industries Limited,"  67,770 "
SALZERELEC,Salzer Electronics Limited,"  67,415 "
AXITA,Axita Cotton Limited,"  67,177 "
OSWALGREEN,Oswal Greentech Limited,"  67,027 "
KHAICHEM,Khaitan Chemicals & Fertilizers Limited,"  66,971 "
HMVL,Hindustan Media Ventures Limited,"  66,931 "
HCL-INSYS,HCL Infosystems Limited,"  66,830 "
HINDCOMPOS,Hindustan Composites Limited,"  66,785 "
CELLECOR,Cellecor Gadgets Limited,"  66,709 "
GHCLTEXTIL,GHCL Textiles Limited,"  66,575 "
KAMATHOTEL,Kamat Hotels (I) Limited,"  66,563 "
ASAL,Automotive Stampings and Assemblies Limited,"  66,551 "
TVSELECT,TVS Electronics Limited,"  66,423 "
ARROWGREEN,Arrow Greentech Limited,"  66,319 "
ESSARSHPNG,Essar Shipping Limited,"  66,232 "
IRISDOREME,Iris Clothings Limited,"  66,195 "
RBL,Rane Brake Lining Limited,"  65,932 "
RITCO,Ritco Logistics Limited,"  65,769 "
JETAIRWAYS,Jet Airways (India) Limited,"  65,432 "
VERTOZ,Vertoz Advertising Limited,"  65,249 "
LOKESHMACH,Lokesh Machines Limited,"  65,207 "
DIGISPICE,DiGiSPICE Technologies Limited,"  65,114 "
JPOLYINVST,Jindal Poly Investment and Finance Company Limited,"  64,606 "
GRPLTD,GRP Limited,"  64,067 "
KHADIM,Khadim India Limited,"  64,044 "
MIRZAINT,Mirza International Limited,"  63,987 "
VLEGOV,VL E-Governance & IT Solutions Limited,"  63,889 "
HUBTOWN,Hubtown Limited,"  63,588 "
SBC,SBC Exports Limited,"  63,492 "
APCL,Anjani Portland Cement Limited,"  62,421 "
DEEPENR,DEEP ENERGY RESOURCES LIMITED,"  62,336 "
20MICRONS,20 Microns Limited,"  62,175 "
MUTHOOTCAP,Muthoot Capital Services Limited,"  61,703 "
RACE,Race Eco Chain Limited,"  61,571 "
ACCENTMIC,Accent Microcell Limited,"  61,530 "
SHREYAS,Shreyas Shipping & Logistics Limited,"  61,251 "
INDSWFTLAB,Ind-Swift Laboratories Limited,"  61,184 "
GLOBAL,Global Education Limited,"  61,112 "
ORIENTCER,ORIENT CERATECH LIMITED,"  61,076 "
JINDALPHOT,Jindal Photo Limited,"  60,934 "
KRISHIVAL,Krishival Foods Limited,"  60,643 "
THEINVEST,The Investment Trust Of India Limited,"  60,627 "
MACPOWER,Macpower CNC Machines Limited,"  59,795 "
KILITCH,Kilitch Drugs (India) Limited,"  59,392 "
STEL,Stel Holdings Limited,"  59,380 "
MINDTECK,Mindteck (India) Limited,"  59,309 "
ORIENTBELL,Orient Bell Limited,"  59,256 "
HTMEDIA,HT Media Limited,"  59,234 "
RADIOCITY,Music Broadcast Limited,"  59,112 "
NIPPOBATRY,Indo-National Limited,"  59,014 "
OSIAHYPER,Osia Hyper Retail Limited,"  58,885 "
ZUARIIND,ZUARI INDUSTRIES LIMITED,"  58,773 "
KANORICHEM,Kanoria Chemicals & Industries Limited,"  58,702 "
BIRLAMONEY,Aditya Birla Money Limited,"  58,628 "
POCL,Pondy Oxides & Chemicals Limited,"  58,438 "
MUNJALSHOW,Munjal Showa Limited,"  57,753 "
INTLCONV,International Conveyors Limited,"  57,707 "
AARTISURF,Aarti Surfactants Limited,"  57,172 "
BBTCL,B&B Triplewall Containers Limited,"  56,990 "
CYBERTECH,Cybertech Systems And Software Limited,"  56,832 "
COOLCAPS,Cool Caps Industries Limited,"  56,760 "
ZIMLAB,Zim Laboratories Limited,"  56,205 "
RATNAVEER,Ratnaveer Precision Engineering Limited,"  55,968 "
PRIMESECU,Prime Securities Limited,"  55,956 "
BEDMUTHA,Bedmutha Industries Limited,"  55,671 "
ALBERTDAVD,Albert David Limited,"  55,665 "
KRITI,Kriti Industries (India) Limited,"  55,506 "
NAHARPOLY,Nahar Poly Films Limited,"  55,434 "
WINDMACHIN,Windsor Machines Limited,"  55,387 "
UNIDT,United Drilling Tools Limited,"  54,818 "
NAHARINDUS,Nahar Industrial Enterprises Limited,"  54,785 "
CLEDUCATE,CL Educate Limited,"  54,779 "
PTL,PTL Enterprises Limited,"  54,672 "
WEL,Wonder Electricals Limited,"  54,454 "
VENUSREM,Venus Remedies Limited,"  54,303 "
DIAMINESQ,Diamines  & Chemicals Limited,"  54,101 "
WSI,W S Industries (I) Limited,"  53,501 "
GOKUL,Gokul Refoils and Solvent Limited,"  53,408 "
SARVESHWAR,Sarveshwar Foods Limited,"  53,345 "
MMP,MMP Industries Limited,"  52,939 "
RADHIKAJWE,Radhika Jeweltech Limited,"  52,628 "
ORICONENT,Oricon Enterprises Limited,"  52,532 "
CHEMFAB,Chemfab Alkalis Limited,"  52,439 "
SAHANA,Sahana System Limited,"  52,413 "
MAZDA,Mazda Limited,"  52,383 "
GOACARBON,Goa Carbon Limited,"  52,326 "
ANNAPURNA,Annapurna Swadisht Limited,"  52,274 "
PROZONER,Prozone Realty Limited,"  51,809 "
ASMS,Bartronics India Limited,"  51,778 "
EXXARO,Exxaro Tiles Limited,"  51,676 "
DONEAR,Donear Industries Limited,"  51,636 "
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,"  51,286 "
NAHARCAP,Nahar Capital and Financial Services Limited,"  51,227 "
AUTOIND,Autoline Industries Limited,"  50,886 "
PHANTOMFX,Phantom Digital Effects Limited,"  50,541 "
TIRUPATI,Shree Tirupati Balajee FIBC Limited,"  50,042 "
PAVNAIND,Pavna Industries Limited,"  49,972 "
BANSWRAS,Banswara Syntex Limited,"  49,705 "
MEGASOFT,Megasoft Limited,"  49,537 "
GENUSPAPER,Genus Paper & Boards Limited,"  49,497 "
PDMJEPAPER,Pudumjee Paper Products Limited,"  49,279 "
NDLVENTURE,NDL Ventures Limited,"  48,251 "
ALLETEC,All E Technologies Limited,"  48,103 "
SIGMA,Sigma Solve Limited,"  47,883 "
ORBTEXP,Orbit Exports Limited,"  47,858 "
GEECEE,GeeCee Ventures Limited,"  47,825 "
VARDHACRLC,Vardhman Acrylics Limited,"  47,696 "
GEEKAYWIRE,Geekay Wires Limited,"  47,557 "
LIBERTSHOE,Liberty Shoes Limited,"  47,490 "
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,"  47,398 "
MBLINFRA,MBL Infrastructure Limited,"  47,349 "
SARLAPOLY,Sarla Performance Fibers Limited,"  47,346 "
SOUTHWEST,South West Pinnacle Exploration Limited,"  47,322 "
UNIVPHOTO,Universus Photo Imagings Limited,"  47,180 "
VIKASECO,Vikas EcoTech Limited,"  47,025 "
EUROBOND,Euro Panel Products Limited,"  47,016 "
SHIVAMAUTO,Shivam Autotech Limited,"  46,994 "
PARSVNATH,Parsvnath Developers Limited,"  46,782 "
NEWJAISA,Newjaisa Technologies Limited,"  46,666 "
KRISHNADEF,Krishna Defence and Allied Industries Limited,"  46,471 "
RBZJEWEL,RBZ Jewellers Limited,"  46,300 "
IFBAGRO,IFB Agro Industries Limited,"  46,156 "
SPMLINFRA,SPML Infra Limited,"  46,064 "
WEALTH,Wealth First Portfolio Managers Limited,"  45,966 "
SIMPLEXINF,Simplex Infrastructures Limited,"  45,800 "
SILINV,SIL Investments Limited,"  45,578 "
NBIFIN,N. B. I. Industrial Finance Company Limited,"  45,531 "
OSWALAGRO,Oswal Agro Mills Limited,"  45,506 "
DICIND,DIC India Limited,"  45,454 "
MODISONLTD,MODISON LIMITED,"  45,235 "
SGIL,Synergy Green Industries Limited,"  44,955 "
ASIANHOTNR,Asian Hotels (North) Limited,"  44,801 "
SAHYADRI,Sahyadri Industries Limited,"  44,409 "
AVG,AVG Logistics Limited,"  44,287 "
BALAXI,BALAXI PHARMACEUTICALS LIMITED,"  44,230 "
RPPINFRA,R.P.P. Infra Projects Limited,"  44,068 "
KAYA,Kaya Limited,"  44,000 "
HITECHCORP,Hitech Corporation Limited,"  43,944 "
PLAZACABLE,Plaza Wires Limited,"  43,883 "
CINELINE,Cineline India Limited,"  43,874 "
SHYAMCENT,Shyam Century Ferrous Limited,"  43,708 "
KOTARISUG,Kothari Sugars And Chemicals Limited,"  43,682 "
GOLDTECH,Goldstone Technologies Limited,"  43,608 "
SHEMAROO,Shemaroo Entertainment Limited,"  43,588 "
KRITINUT,Kriti Nutrients Limited,"  43,515 "
OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,"  43,258 "
UFO,UFO Moviez India Limited,"  43,185 "
ESFL,Essen Speciality Films Limited,"  42,899 "
KORE,Jay Jalaram Technologies Limited,"  42,851 "
NURECA,Nureca Limited,"  42,791 "
LORDSCHLO,Lords Chloro Alkali Limited,"  42,749 "
SHIVAUM,Shiv Aum Steels Limited,"  42,338 "
BRNL,Bharat Road Network Limited,"  41,849 "
BPL,BPL Limited,"  41,654 "
SAKUMA,Sakuma Exports Limited,"  41,634 "
TRIGYN,Trigyn Technologies Limited,"  41,422 "
EMAMIREAL,Emami Realty Limited,"  41,326 "
WANBURY,Wanbury Limited,"  41,276 "
DUGLOBAL,DUDIGITAL GLOBAL LIMITED,"  41,247 "
ALANKIT,Alankit Limited,"  41,206 "
NRL,Nupur Recyclers Limited,"  41,138 "
BIL,Bhartiya International Limited,"  41,048 "
